geometry,name,longitude,latitude,amenity_type
POINT (-0.2242893 51.5030944),Shu Xiang Ge Hot Pot,-0.2242893,51.5030944,restaurant
POINT (-0.2245549 51.5030059),The Kitchen,-0.2245549,51.5030059,restaurant
POINT (-0.171447 51.4246318),Kricket / Pasta Evangelists,-0.171447,51.4246318,restaurant
POINT (-0.0056326 51.5638691),Zaxx,-0.0056326,51.5638691,restaurant
POINT (-0.1653347 51.4260127),Taste,-0.1653347,51.4260127,restaurant
POINT (-0.1700456 51.4261053),Kothu,-0.1700456,51.4261053,restaurant
POINT (-0.0185582 51.4465602),La Ciabatta,-0.0185582,51.4465602,restaurant
POINT (-0.1663263 51.4299036),Dawat,-0.1663263,51.4299036,restaurant
POINT (-0.2281453 51.5057135),Shabab Grill,-0.2281453,51.5057135,restaurant
POINT (-0.1618043 51.4233941),Biryani House,-0.1618043,51.4233941,restaurant
POINT (-0.1620716 51.4234812),Dolce Vita,-0.1620716,51.4234812,restaurant
POINT (-0.1624233 51.4239933),Afghan Palace,-0.1624233,51.4239933,restaurant
POINT (-0.0982607 51.5559331),The Sauce,-0.0982607,51.5559331,restaurant
POINT (-0.0187138 51.445813),La Pizzeria Italiana,-0.0187138,51.445813,restaurant
POINT (-0.3176339 51.5034485),Monty's,-0.3176339,51.5034485,restaurant
POINT (-0.317819 51.5035829),Mo's Restaurant,-0.317819,51.5035829,restaurant
POINT (-0.3183219 51.5040245),Madero,-0.3183219,51.5040245,restaurant
POINT (-0.3184104 51.5040988),Nuki's,-0.3184104,51.5040988,restaurant
POINT (-0.3184976 51.5041673),Takaa Tak,-0.3184976,51.5041673,restaurant
POINT (-0.3185526 51.5042057),Bella Mira Cafe,-0.3185526,51.5042057,restaurant
POINT (-0.3190246 51.5045788),Mama's,-0.3190246,51.5045788,restaurant
POINT (-0.3195517 51.5053393),Happy Garden,-0.3195517,51.5053393,restaurant
POINT (-0.319724 51.5056561),Ksara,-0.319724,51.5056561,restaurant
POINT (-0.2335674 51.5063602),Nepal Authentic Dining,-0.2335674,51.5063602,restaurant
POINT (-0.3169732 51.5033078),Sikulo,-0.3169732,51.5033078,restaurant
POINT (-0.3173448 51.503233),Tapelia,-0.3173448,51.503233,restaurant
POINT (-0.1047772 51.5043756),Gusto,-0.1047772,51.5043756,restaurant
POINT (-0.3163892 51.5028034),Patri,-0.3163892,51.5028034,restaurant
POINT (-0.2020094 51.6552058),Botannika,-0.2020094,51.6552058,restaurant
POINT (-0.3154361 51.5007155),Da Moreno Pizza,-0.3154361,51.5007155,restaurant
POINT (-0.3159501 51.5022709),Papaya,-0.3159501,51.5022709,restaurant
POINT (-0.316089 51.5024292),Maxim,-0.316089,51.5024292,restaurant
POINT (-0.3161806 51.5025497),Bronek's International Fish Cuisine,-0.3161806,51.5025497,restaurant
POINT (-0.316584 51.5025267),Spice Magic,-0.316584,51.5025267,restaurant
POINT (-0.3150575 51.5003014),Pasta di Piazza,-0.3150575,51.5003014,restaurant
POINT (-0.1786467 51.4174198),Dough Central,-0.1786467,51.4174198,restaurant
POINT (-0.2330677 51.5012394),Caffè Bonego,-0.2330677,51.5012394,restaurant
POINT (-0.2328315 51.501311),Sushi54,-0.2328315,51.501311,restaurant
POINT (-0.0428253 51.5114594),The food map co,-0.0428253,51.5114594,restaurant
POINT (-0.1636442 51.4249594),Al-Farah,-0.1636442,51.4249594,restaurant
POINT (-0.1009447 51.5626681),Il Cavaliere,-0.1009447,51.5626681,restaurant
POINT (-0.1028624 51.5377803),Tofu Vegan,-0.1028624,51.5377803,restaurant
POINT (-0.2398427 51.4932971),Alley Restaurant,-0.2398427,51.4932971,restaurant
POINT (-0.2402702 51.4933223),Anarkali,-0.2402702,51.4933223,restaurant
POINT (-0.1449652 51.5132302),123Vegan,-0.1449652,51.5132302,restaurant
POINT (-0.1666092 51.4290866),Shawarma Stop,-0.1666092,51.4290866,restaurant
POINT (-0.1664469 51.4290265),Guasa,-0.1664469,51.4290265,restaurant
POINT (-0.1659138 51.4289733),Toast & Tacos,-0.1659138,51.4289733,restaurant
POINT (-0.1666405 51.4290427),Pepi’s,-0.1666405,51.4290427,restaurant
POINT (-0.1666794 51.4290583),Panda Noodle Bar,-0.1666794,51.4290583,restaurant
POINT (-0.1666549 51.4291065),Basil Chinese & Thai,-0.1666549,51.4291065,restaurant
POINT (-0.1665258 51.429057),Green Choy,-0.1665258,51.429057,restaurant
POINT (-0.1658737 51.4290008),Panzerotto Blues,-0.1658737,51.4290008,restaurant
POINT (-0.1657594 51.4288776),The Lone Fisherman,-0.1657594,51.4288776,restaurant
POINT (-0.077718 51.5246668),Tonkotsu,-0.077718,51.5246668,restaurant
POINT (-0.1611357 51.4350966),Big Belly Kitchens,-0.1611357,51.4350966,restaurant
POINT (-0.1610313 51.4205547),Samrat,-0.1610313,51.4205547,restaurant
POINT (-0.1611118 51.4204367),Yhaal House,-0.1611118,51.4204367,restaurant
POINT (-0.1601927 51.4219008),La Taverna Di Toto,-0.1601927,51.4219008,restaurant
POINT (-0.3635757 51.4787293),The Grill at Park Grand London Heathrow,-0.3635757,51.4787293,restaurant
POINT (-0.1610582 51.4348314),Oodles,-0.1610582,51.4348314,restaurant
POINT (-0.1611232 51.4347925),Al-Majles,-0.1611232,51.4347925,restaurant
POINT (-0.1606909 51.4350337),Namak Mandi,-0.1606909,51.4350337,restaurant
POINT (-0.1695122 51.4259812),Smoke & Salt,-0.1695122,51.4259812,restaurant
POINT (-0.2427062 51.5024974),Som Tam,-0.2427062,51.5024974,restaurant
POINT (-0.2427363 51.5025415),Hoang Lan,-0.2427363,51.5025415,restaurant
POINT (-0.3152894 51.4999517),Cheese Wheel,-0.3152894,51.4999517,restaurant
POINT (-0.3070451 51.5032071),Don Antonio Pizza,-0.3070451,51.5032071,restaurant
POINT (-0.3070438 51.5031645),4 Babki,-0.3070438,51.5031645,restaurant
POINT (-0.1569245 51.4373381),Taboullah,-0.1569245,51.4373381,restaurant
POINT (-0.1591698 51.4361159),Camile,-0.1591698,51.4361159,restaurant
POINT (-0.2388281 51.5063299),Bush Pie & Mash,-0.2388281,51.5063299,restaurant
POINT (-0.1611882 51.4351024),Royal Mahal Banqueting,-0.1611882,51.4351024,restaurant
POINT (-0.2434599 51.5041098),Adams Cafe,-0.2434599,51.5041098,restaurant
POINT (0.0670054 51.4184842),Ginger & Spices,0.0670054,51.4184842,restaurant
POINT (0.0682326 51.4172999),Zizzi,0.0682326,51.4172999,restaurant
POINT (0.0676735 51.417847),Côte Brasserie,0.0676735,51.417847,restaurant
POINT (-0.1602322 51.4992315),Holy Carrot,-0.1602322,51.4992315,restaurant
POINT (-0.1365865 51.5126729),Tendril,-0.1365865,51.5126729,restaurant
POINT (-0.2091757 51.4586809),Ohayo Sushi,-0.2091757,51.4586809,restaurant
POINT (0.0330841 51.5386795),Vijay's Chawalla,0.0330841,51.5386795,restaurant
POINT (-0.098379 51.558147),Rabieng,-0.098379,51.558147,restaurant
POINT (-0.0892648 51.5057304),Whisky Ginger,-0.0892648,51.5057304,restaurant
POINT (-0.2439262 51.5043083),St Elmo Fish Bar,-0.2439262,51.5043083,restaurant
POINT (-0.2437517 51.5040797),,-0.2437517,51.5040797,restaurant
POINT (-0.2560451 51.5064187),Olive & Thyme,-0.2560451,51.5064187,restaurant
POINT (0.0976453 51.3738926),Elachi,0.0976453,51.3738926,restaurant
POINT (0.0547164 51.3672258),Istanbul Grill,0.0547164,51.3672258,restaurant
POINT (0.0547399 51.3669228),Pasha Meze Mangal,0.0547399,51.3669228,restaurant
POINT (-0.295271 51.3853884),Sushi Hero,-0.295271,51.3853884,restaurant
POINT (-0.1669281 51.4285502),Chels Ang,-0.1669281,51.4285502,restaurant
POINT (-0.2533888 51.5065429),More Munchies,-0.2533888,51.5065429,restaurant
POINT (-0.2535085 51.506532),O!Burger,-0.2535085,51.506532,restaurant
POINT (-0.2545827 51.5064814),Morley's,-0.2545827,51.5064814,restaurant
POINT (-0.1234924 51.5212028),Pizza Hut,-0.1234924,51.5212028,restaurant
POINT (-0.0592884 51.5493559),Ace Pizza,-0.0592884,51.5493559,restaurant
POINT (-0.2434959 51.5033226),Monkey Temple,-0.2434959,51.5033226,restaurant
POINT (-0.2432745 51.502843),Beirut Meza,-0.2432745,51.502843,restaurant
POINT (-0.1298382 51.5110461),Maison du Mezzé,-0.1298382,51.5110461,restaurant
POINT (-0.1341285 51.5097771),Granaio,-0.1341285,51.5097771,restaurant
POINT (-0.2230817 51.4888389),Mezza&Grill,-0.2230817,51.4888389,restaurant
POINT (-0.0981183 51.4940266),Tupi,-0.0981183,51.4940266,restaurant
POINT (-0.0980217 51.4940384),Pizza Pappagone Sud,-0.0980217,51.4940384,restaurant
POINT (-0.1075244 51.5895612),Roast and Smoulder,-0.1075244,51.5895612,restaurant
POINT (-0.019464 51.4660361),Chicha,-0.019464,51.4660361,restaurant
POINT (0.1054842 51.4626923),Bella Napoli,0.1054842,51.4626923,restaurant
POINT (-0.256661 51.5064028),NUR Malaysia London,-0.256661,51.5064028,restaurant
POINT (-0.2563707 51.5064216),Rango'z Peri Peri,-0.2563707,51.5064216,restaurant
POINT (-0.2553275 51.5064631),Laziz,-0.2553275,51.5064631,restaurant
POINT (-0.2559514 51.5064494),Olive & Thyme,-0.2559514,51.5064494,restaurant
POINT (-0.2561048 51.506441),Dada's Diner,-0.2561048,51.506441,restaurant
POINT (0.0110941 51.4577015),Sapori D'Italia,0.0110941,51.4577015,restaurant
POINT (0.0122717 51.5201103),Canaan,0.0122717,51.5201103,restaurant
POINT (0.0123011 51.5202299),Auntie Nana's,0.0123011,51.5202299,restaurant
POINT (-0.0959134 51.4935622),400 Rabbits,-0.0959134,51.4935622,restaurant
POINT (-0.1862943 51.4127515),The Britannia Cafe,-0.1862943,51.4127515,restaurant
POINT (-0.3748398 51.4961092),Lavish Lounge,-0.3748398,51.4961092,restaurant
POINT (-0.0109587 51.4655206),Payîz,-0.0109587,51.4655206,restaurant
POINT (-0.1581848 51.5231605),Emelia's,-0.1581848,51.5231605,restaurant
POINT (-0.2021271 51.6559206),Melange,-0.2021271,51.6559206,restaurant
POINT (-0.2022596 51.6563636),Fortune Cat,-0.2022596,51.6563636,restaurant
POINT (-0.0932992 51.6537632),The Poppadom,-0.0932992,51.6537632,restaurant
POINT (-0.0922885 51.6537601),Burlingtons,-0.0922885,51.6537601,restaurant
POINT (-0.0915145 51.6537401),Beauitful South,-0.0915145,51.6537401,restaurant
POINT (-0.3080571 51.3917288),Megan's at the post office,-0.3080571,51.3917288,restaurant
POINT (-0.1945156 51.3663963),Fillings,-0.1945156,51.3663963,restaurant
POINT (-0.1929035 51.3631753),Bangkok Pad Thai,-0.1929035,51.3631753,restaurant
POINT (0.0820348 51.4502711),Brurritos,0.0820348,51.4502711,restaurant
POINT (-0.0914311 51.4943083),Cabana,-0.0914311,51.4943083,restaurant
POINT (-0.2004593 51.573555),Tuk Tuk,-0.2004593,51.573555,restaurant
POINT (-0.1791548 51.5195172),London Shell Co.,-0.1791548,51.5195172,restaurant
POINT (-0.1072885 51.5515501),Westerns Laundry,-0.1072885,51.5515501,restaurant
POINT (0.1015193 51.3766667),Nando's,0.1015193,51.3766667,restaurant
POINT (0.1008175 51.3767325),Taste Of Turkish,0.1008175,51.3767325,restaurant
POINT (-0.2313253 51.4973894),Chillies of Brackenbury,-0.2313253,51.4973894,restaurant
POINT (-0.2313259 51.4973292),Poppy's 3,-0.2313259,51.4973292,restaurant
POINT (-0.2192503 51.586665),Senator Lounge,-0.2192503,51.586665,restaurant
POINT (-0.2276068 51.4978513),Patri,-0.2276068,51.4978513,restaurant
POINT (-0.0706754 51.5461134),Little Duck - The Picklery,-0.0706754,51.5461134,restaurant
POINT (0.0293181 51.5007874),S’more,0.0293181,51.5007874,restaurant
POINT (-0.4740264 51.5089072),Go Sing,-0.4740264,51.5089072,restaurant
POINT (-0.0208073 51.4996784),Little Green,-0.0208073,51.4996784,restaurant
POINT (-0.0596987 51.4918027),Ceru,-0.0596987,51.4918027,restaurant
POINT (-0.3569308 51.4697602),Taste of Lahore,-0.3569308,51.4697602,restaurant
POINT (-0.1811762 51.5325534),Kotta Sushi,-0.1811762,51.5325534,restaurant
POINT (-0.0761916 51.5176649),Noodle & Beer,-0.0761916,51.5176649,restaurant
POINT (-0.2234884 51.5030639),Bocconi,-0.2234884,51.5030639,restaurant
POINT (-0.2232409 51.5028768),Spice Grills,-0.2232409,51.5028768,restaurant
POINT (-0.4813002 51.52795),Blue Ginger,-0.4813002,51.52795,restaurant
POINT (-0.4813257 51.5278791),Cowley Inn,-0.4813257,51.5278791,restaurant
POINT (-0.1929873 51.4927381),Mali Vegan Thai,-0.1929873,51.4927381,restaurant
POINT (-0.2223374 51.501543),Pizza Fresco,-0.2223374,51.501543,restaurant
POINT (-0.2222604 51.5013875),Raj of India,-0.2222604,51.5013875,restaurant
POINT (-0.0545614 51.6817804),Terrace Restaurant,-0.0545614,51.6817804,restaurant
POINT (-0.4812448 51.5225856),Lee Garden,-0.4812448,51.5225856,restaurant
POINT (-0.222263 51.5002912),Eat of Eden,-0.222263,51.5002912,restaurant
POINT (-0.2222719 51.5001862),Acropolis,-0.2222719,51.5001862,restaurant
POINT (-0.0257079 51.4787077),Buster Mantis,-0.0257079,51.4787077,restaurant
POINT (-0.2225894 51.4981929),Farina & More,-0.2225894,51.4981929,restaurant
POINT (0.0256141 51.5501751),Pizza Haven,0.0256141,51.5501751,restaurant
POINT (-0.0578197 51.5403021),Rosa's Thai Cafe,-0.0578197,51.5403021,restaurant
POINT (-0.2240962 51.4938684),Wagamama,-0.2240962,51.4938684,restaurant
POINT (-0.4786457 51.5464395),Pop-In Cafe,-0.4786457,51.5464395,restaurant
POINT (-0.0187455 51.5024604),Seoul Bird,-0.0187455,51.5024604,restaurant
POINT (-0.1660857 51.4456053),The Good Earth,-0.1660857,51.4456053,restaurant
POINT (-0.1658977 51.4458011),Pizza de Valter,-0.1658977,51.4458011,restaurant
POINT (-0.1373438 51.5184412),Flesh & Bun,-0.1373438,51.5184412,restaurant
POINT (-0.1676027 51.4435906),Gazette,-0.1676027,51.4435906,restaurant
POINT (-0.139438 51.5055108),The Great British Restaurant,-0.139438,51.5055108,restaurant
POINT (-0.109509 51.532036),Marco Pierre White Steakhouse,-0.109509,51.532036,restaurant
POINT (-0.2186049 51.5039707),Aroma Buffet,-0.2186049,51.5039707,restaurant
POINT (-0.0941241 51.6350825),Flavours of Italy,-0.0941241,51.6350825,restaurant
POINT (-0.0936649 51.6349091),Delicious Kebab,-0.0936649,51.6349091,restaurant
POINT (-0.0925076 51.6351219),Peking Chef,-0.0925076,51.6351219,restaurant
POINT (-0.0938235 51.6343924),Ashoka,-0.0938235,51.6343924,restaurant
POINT (-0.0941173 51.6348834),Red Bamboo,-0.0941173,51.6348834,restaurant
POINT (-0.0938018 51.6344432),Osaka,-0.0938018,51.6344432,restaurant
POINT (-0.0937586 51.6346895),Punto,-0.0937586,51.6346895,restaurant
POINT (-0.0941221 51.6349252),The Vine Leaf,-0.0941221,51.6349252,restaurant
POINT (-0.1804027 51.519716),Wagamama,-0.1804027,51.519716,restaurant
POINT (-0.4811978 51.5485498),Bar Italia,-0.4811978,51.5485498,restaurant
POINT (-0.2216956 51.4997208),Weizi Prawn Hot Pot,-0.2216956,51.4997208,restaurant
POINT (0.0200513 51.5075191),,0.0200513,51.5075191,restaurant
POINT (-0.1282018 51.5136579),Chick N Sours,-0.1282018,51.5136579,restaurant
POINT (-0.148877 51.5432879),BUK,-0.148877,51.5432879,restaurant
POINT (-0.102977 51.6344211),Samdan,-0.102977,51.6344211,restaurant
POINT (-0.1027897 51.634256),The Larder,-0.1027897,51.634256,restaurant
POINT (-0.1029356 51.6347754),Winchmore Tandoori,-0.1029356,51.6347754,restaurant
POINT (-0.1979 51.4806474),Hindi Poke,-0.1979,51.4806474,restaurant
POINT (-0.1003752 51.5372079),Lucky Chip,-0.1003752,51.5372079,restaurant
POINT (0.0684016 51.417032),Bank House,0.0684016,51.417032,restaurant
POINT (0.0681377 51.4178841),Mountain View,0.0681377,51.4178841,restaurant
POINT (0.0684823 51.4169468),Giggling Squid,0.0684823,51.4169468,restaurant
POINT (0.0663132 51.4195788),Thaidine,0.0663132,51.4195788,restaurant
POINT (-0.3570738 51.4696997),Menara Lounge,-0.3570738,51.4696997,restaurant
POINT (-0.0100564 51.5416253),Gordon Ramsey Bread Street Kitchen and Bar,-0.0100564,51.5416253,restaurant
POINT (-0.1271051 51.47978),Chutney Tandoori,-0.1271051,51.47978,restaurant
POINT (-0.010066 51.5417683),Pizza East,-0.010066,51.5417683,restaurant
POINT (-0.1621846 51.58509),The Engine Room,-0.1621846,51.58509,restaurant
POINT (-0.3556074 51.4705339),Saucy Dough,-0.3556074,51.4705339,restaurant
POINT (-0.1964811 51.5189194),Pastan,-0.1964811,51.5189194,restaurant
POINT (-0.2557959 51.3995717),Imone,-0.2557959,51.3995717,restaurant
POINT (-0.2175229 51.5014142),Pizza Royal,-0.2175229,51.5014142,restaurant
POINT (-0.1279931 51.4385945),Don Luigi,-0.1279931,51.4385945,restaurant
POINT (-0.1511846 51.4444357),Smoke Daddies,-0.1511846,51.4444357,restaurant
POINT (-0.1311778 51.5129599),Cha Cha Roll,-0.1311778,51.5129599,restaurant
POINT (-0.1105058 51.5080121),Hola Guacamole,-0.1105058,51.5080121,restaurant
POINT (-0.2264302 51.5138774),Cuepoint,-0.2264302,51.5138774,restaurant
POINT (-0.1283906 51.5123222),Bunsik,-0.1283906,51.5123222,restaurant
POINT (-0.2174728 51.4975958),Pentolina,-0.2174728,51.4975958,restaurant
POINT (-0.2170727 51.4975034),Zia Lucia,-0.2170727,51.4975034,restaurant
POINT (-0.2166311 51.4975732),The Popeseye Steak House,-0.2166311,51.4975732,restaurant
POINT (-0.0991467 51.5805637),Gökyüzü,-0.0991467,51.5805637,restaurant
POINT (-0.0991139 51.5803647),Hala,-0.0991139,51.5803647,restaurant
POINT (-0.2117471 51.4976564),Shandeez,-0.2117471,51.4976564,restaurant
POINT (-0.2130916 51.4971257),Mimino Club,-0.2130916,51.4971257,restaurant
POINT (-0.2126495 51.4970657),Chez Abir,-0.2126495,51.4970657,restaurant
POINT (-0.2120669 51.4973268),Mr India,-0.2120669,51.4973268,restaurant
POINT (-0.3421751 51.4444815),Da Alfredo,-0.3421751,51.4444815,restaurant
POINT (-0.0817501 51.5249885),Uba,-0.0817501,51.5249885,restaurant
POINT (-0.1033254 51.5042379),Numnum,-0.1033254,51.5042379,restaurant
POINT (-0.1356659 51.5143771),Fatt Pundit,-0.1356659,51.5143771,restaurant
POINT (-0.1612397 51.4348512),Oodles,-0.1612397,51.4348512,restaurant
POINT (-0.1329064 51.5126018),Mr Ji Soho,-0.1329064,51.5126018,restaurant
POINT (-0.1365546 51.5191451),Old Chang Kee,-0.1365546,51.5191451,restaurant
POINT (-0.1906572 51.5021732),Adora Pizza,-0.1906572,51.5021732,restaurant
POINT (-0.125843 51.514145),El Pollote,-0.125843,51.514145,restaurant
POINT (-0.2193367 51.4933744),The Suzu House,-0.2193367,51.4933744,restaurant
POINT (-0.3538984 51.4706464),Nando's,-0.3538984,51.4706464,restaurant
POINT (-0.1889323 51.5020169),Zuaya,-0.1889323,51.5020169,restaurant
POINT (-0.0220769 51.542957),Silo,-0.0220769,51.542957,restaurant
POINT (-0.3543372 51.4705535),Flavors of India,-0.3543372,51.4705535,restaurant
POINT (-0.3544284 51.4705284),Hyderabad Tastes,-0.3544284,51.4705284,restaurant
POINT (-0.2241808 51.4918482),Chez Maiss,-0.2241808,51.4918482,restaurant
POINT (-0.2244348 51.491954),Simya,-0.2244348,51.491954,restaurant
POINT (-0.1291021 51.5277168),Thyme Bar and Restaurant at the Premier Inn,-0.1291021,51.5277168,restaurant
POINT (0.0673449 51.4928496),Beefeater,0.0673449,51.4928496,restaurant
POINT (-0.1082499 51.5651589),Palmyra's Kitchen,-0.1082499,51.5651589,restaurant
POINT (-0.1942221 51.3635023),Bar & Block,-0.1942221,51.3635023,restaurant
POINT (0.1368168 51.4130777),Enzo's Pizza & Grill,0.1368168,51.4130777,restaurant
POINT (-0.3551411 51.4703454),The Nizan,-0.3551411,51.4703454,restaurant
POINT (-0.2072294 51.4911765),Best Mangal 1996,-0.2072294,51.4911765,restaurant
POINT (-0.014944 51.4830281),The Oystercatcher,-0.014944,51.4830281,restaurant
POINT (-0.2082193 51.4958718),Miran Masala,-0.2082193,51.4958718,restaurant
POINT (-0.2086169 51.4958193),Alborz Persian Cuisine,-0.2086169,51.4958193,restaurant
POINT (-0.3553974 51.470274),Kari Dosa,-0.3553974,51.470274,restaurant
POINT (0.0461132 51.5021925),Dhalchi,0.0461132,51.5021925,restaurant
POINT (-0.0052798 51.5099147),The Canteen,-0.0052798,51.5099147,restaurant
POINT (-0.1137818 51.521521),Banh Mi Bay,-0.1137818,51.521521,restaurant
POINT (-0.3020383 51.4120423),Ranya,-0.3020383,51.4120423,restaurant
POINT (-0.0214854 51.5443919),Bakes N Stuffingz,-0.0214854,51.5443919,restaurant
POINT (-0.0215079 51.5443477),Filigrillz,-0.0215079,51.5443477,restaurant
POINT (-0.0215645 51.5443351),Rainbo,-0.0215645,51.5443351,restaurant
POINT (-0.0215955 51.544446),Bovine Burger,-0.0215955,51.544446,restaurant
POINT (-0.0216244 51.5444395),Made In Puglia,-0.0216244,51.5444395,restaurant
POINT (-0.18717 51.5163546),Happy Lamb Hot Pot,-0.18717,51.5163546,restaurant
POINT (-0.2318499 51.4926892),Zack's,-0.2318499,51.4926892,restaurant
POINT (-0.2351033 51.4930039),Il GUSTO,-0.2351033,51.4930039,restaurant
POINT (-0.2352331 51.4930127),Sanbao,-0.2352331,51.4930127,restaurant
POINT (-0.2353778 51.4930232),Cucina Moderna,-0.2353778,51.4930232,restaurant
POINT (-0.2360222 51.493101),Yoshi Sushi,-0.2360222,51.493101,restaurant
POINT (-0.236369 51.4931616),Bombay Chow,-0.236369,51.4931616,restaurant
POINT (-0.1363918 51.5113311),Bancone,-0.1363918,51.5113311,restaurant
POINT (-0.2375598 51.4935607),Lowiczanka,-0.2375598,51.4935607,restaurant
POINT (-0.2370222 51.4933259),Indian Zing,-0.2370222,51.4933259,restaurant
POINT (-0.0817953 51.578851),Gifa,-0.0817953,51.578851,restaurant
POINT (-0.0816853 51.5789385),La Surena,-0.0816853,51.5789385,restaurant
POINT (-0.0856396 51.5752776),Bring Back The Love,-0.0856396,51.5752776,restaurant
POINT (-0.2973173 51.3884795),Bamanoosh,-0.2973173,51.3884795,restaurant
POINT (-0.1410287 51.4971779),Bill's,-0.1410287,51.4971779,restaurant
POINT (0.026612 51.5449927),Sake Sushi/Poke Express,0.026612,51.5449927,restaurant
POINT (-0.1668767 51.5182814),The Pine,-0.1668767,51.5182814,restaurant
POINT (-0.1787116 51.5555245),28 Church Row,-0.1787116,51.5555245,restaurant
POINT (-0.077394 51.530552),Ant House,-0.077394,51.530552,restaurant
POINT (0.030876 51.5393166),German Doner Kebab,0.030876,51.5393166,restaurant
POINT (0.0304028 51.5394456),Friends Kitchen & Pizza,0.0304028,51.5394456,restaurant
POINT (0.0302392 51.5394389),Rooster Piri Piri,0.0302392,51.5394389,restaurant
POINT (0.0303452 51.5393238),Adnans Charcoal Grill,0.0303452,51.5393238,restaurant
POINT (-0.3564397 51.4699766),Nosh e Jan,-0.3564397,51.4699766,restaurant
POINT (-0.2633185 51.4001744),Tongdak,-0.2633185,51.4001744,restaurant
POINT (-0.2163913 51.3589038),American Way,-0.2163913,51.3589038,restaurant
POINT (-0.1275077 51.5143955),"Thai Square, Covent Garden",-0.1275077,51.5143955,restaurant
POINT (-0.2521169 51.4929775),Angie's,-0.2521169,51.4929775,restaurant
POINT (-0.0213698 51.5044253),Six by Nico,-0.0213698,51.5044253,restaurant
POINT (0.0249117 51.5502718),Connies Special Authentic Ghanaian,0.0249117,51.5502718,restaurant
POINT (0.0324856 51.5398719),Khana Khazana,0.0324856,51.5398719,restaurant
POINT (-0.2996295 51.5518048),Mumbai Dosa,-0.2996295,51.5518048,restaurant
POINT (-0.1255429 51.3776955),PizzaExpress,-0.1255429,51.3776955,restaurant
POINT (-0.159351 51.3656151),Indian Oasis,-0.159351,51.3656151,restaurant
POINT (-0.1592814 51.6127958),Deja Vu,-0.1592814,51.6127958,restaurant
POINT (-0.1592069 51.6128283),Friends Fish Restaurant,-0.1592069,51.6128283,restaurant
POINT (-0.3813913 51.5940978),Turqoise Kitchen,-0.3813913,51.5940978,restaurant
POINT (-0.3815416 51.5940586),Matsya,-0.3815416,51.5940586,restaurant
POINT (-0.3816824 51.594027),Friends,-0.3816824,51.594027,restaurant
POINT (-0.3361502 51.5089199),Wild West,-0.3361502,51.5089199,restaurant
POINT (-0.1915701 51.5523571),Hana,-0.1915701,51.5523571,restaurant
POINT (-0.128814 51.5485905),Golden Valley,-0.128814,51.5485905,restaurant
POINT (-0.2003663 51.5734025),Novellino Bistro,-0.2003663,51.5734025,restaurant
POINT (-0.1997145 51.5730958),Novellino,-0.1997145,51.5730958,restaurant
POINT (-0.3526502 51.4709677),Biryanis,-0.3526502,51.4709677,restaurant
POINT (-0.0617615 51.4982211),Pho Nam,-0.0617615,51.4982211,restaurant
POINT (-0.2308432 51.590145),,-0.2308432,51.590145,restaurant
POINT (-0.1469452 51.5993967),Gani,-0.1469452,51.5993967,restaurant
POINT (-0.147765 51.599983),Taste of Nawab,-0.147765,51.599983,restaurant
POINT (-0.1496493 51.6146525),Boulevard,-0.1496493,51.6146525,restaurant
POINT (-0.1493857 51.6146967),The Oak,-0.1493857,51.6146967,restaurant
POINT (-0.1493044 51.6147103),Pra Thai,-0.1493044,51.6147103,restaurant
POINT (-0.172072 51.5489564),Teta's,-0.172072,51.5489564,restaurant
POINT (-0.1671444 51.5332722),Oslo Court,-0.1671444,51.5332722,restaurant
POINT (-0.0912913 51.5250367),Officina 00,-0.0912913,51.5250367,restaurant
POINT (-0.3528104 51.4709312),The Legend,-0.3528104,51.4709312,restaurant
POINT (-0.3529968 51.470889),Hounslow Lahori Karahi,-0.3529968,51.470889,restaurant
POINT (0.0184028 51.5157004),Jamaican Roots,0.0184028,51.5157004,restaurant
POINT (-0.1035333 51.5639934),Balageru,-0.1035333,51.5639934,restaurant
POINT (-0.0437451 51.4921471),Bellucci,-0.0437451,51.4921471,restaurant
POINT (-0.0439418 51.4921061),Babzen,-0.0439418,51.4921061,restaurant
POINT (-0.3391643 51.5814058),PizzaExpress,-0.3391643,51.5814058,restaurant
POINT (-0.0529461 51.4994308),Perfetta Pizzeria,-0.0529461,51.4994308,restaurant
POINT (-0.0530029 51.4993999),Water House,-0.0530029,51.4993999,restaurant
POINT (-0.0587469 51.5497611),JFB Jerk Grill,-0.0587469,51.5497611,restaurant
POINT (-0.1405495 51.4539509),Osteria,-0.1405495,51.4539509,restaurant
POINT (-0.3059704 51.4981886),Da Shack,-0.3059704,51.4981886,restaurant
POINT (-0.0999076 51.582584),Umut 2000,-0.0999076,51.582584,restaurant
POINT (-0.0696522 51.5159398),Gugsu,-0.0696522,51.5159398,restaurant
POINT (-0.1940189 51.5714391),Tamta House,-0.1940189,51.5714391,restaurant
POINT (-0.1943435 51.5714818),Eat Tokyo,-0.1943435,51.5714818,restaurant
POINT (-0.123505 51.5810382),Mathew's Kitchen,-0.123505,51.5810382,restaurant
POINT (-0.0130578 51.5021643),Emilia's Crafted Pasta,-0.0130578,51.5021643,restaurant
POINT (-0.1322221 51.6471916),Oakwood Palace,-0.1322221,51.6471916,restaurant
POINT (-0.1251927 51.5226453),Galvin Bar & Grill,-0.1251927,51.5226453,restaurant
